Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
J. Trenskow,SC Heerenveen,26,1816,1055,3,51.0,17,6,4.0356,4.006,3.8725,28,16,15,5,23,55,630,522,17,38,6,27,Midfielder
O. Siira Sivertsen,Go Ahead Eagles,14,155,1056,0,1.0,1,0,0.0999,0.1,0.4923,4,4,2,2,0,9,51,36,5,5,1,2,Midfielder
J. Breum,Go Ahead Eagles,26,2062,1057,5,59.0,22,10,6.269,6.288,5.5989,22,19,8,6,18,81,888,696,83,90,6,44,Midfielder
S. Ltaief,FC Twente,36,1195,1058,2,30.0,9,1,1.4643,1.441,3.8773,24,5,3,3,12,95,443,349,6,33,2,24,Midfielder
JBJ. Baas,Sparta Rotterdam,20,850,1059,2,4.0,2,0,0.1478,0.148,1.3662,18,20,12,12,1,40,483,412,44,50,1,18,Midfielder
RKR. Kuijpers,RKC Waalwijk,29,230,1060,0,9.0,1,0,0.8037,0.804,0.3324,3,3,2,1,2,7,51,34,7,11,0,3,Midfielder
É. Michut,Fortuna Sittard,21,1041,1061,0,13.0,4,1,1.6174,1.664,0.4498,35,10,16,10,3,78,354,316,12,14,0,2,Midfielder
D. Rots,FC Twente,34,2299,1062,6,50.0,18,3,4.9688,4.987,4.8406,61,25,10,33,13,153,764,550,75,37,10,40,Midfielder
Z. Buurmeester,PEC Zwolle,33,1215,1063,1,20.0,8,4,2.9362,2.937,2.0013,29,20,13,18,4,70,600,491,35,15,2,19,Midfielder
I. Saibari,PSV Eindhoven,29,1786,1064,11,84.0,37,11,11.2613,11.252,5.691,40,15,12,12,26,102,857,735,34,15,7,41,Midfielder
C. Twigt,Willem II Tilburg,26,458,1065,0,2.0,0,0,0.0437,0.044,1.1797,7,13,3,10,1,28,229,190,25,3,2,7,Midfielder
S. Resink,FC Groningen,31,2370,1066,2,42.0,17,5,2.9979,2.815,1.5212,99,54,26,51,11,216,1188,940,102,21,3,16,Midfielder
O. Targhalline,Feyenoord,8,292,1067,0,1.0,0,0,0.0298,0.03,0.3958,10,5,4,5,0,25,192,173,12,3,0,5,Midfielder
DAD. Al-Saed,SC Heerenveen,15,199,1068,0,1.0,1,0,0.0207,0.021,0.4496,8,1,0,0,0,12,67,50,3,0,0,1,Midfielder
Y. Cathline,FC Utrecht,26,1957,1069,5,64.0,16,6,3.2866,3.309,3.8066,27,12,6,10,23,136,463,346,18,67,4,28,Midfielder
L. Valente,Feyenoord,32,2608,1070,7,51.0,23,2,3.1114,3.18,4.7574,19,16,9,7,11,121,1126,924,73,45,13,41,Midfielder
T. de Jonge,FC Groningen,23,1279,1071,1,15.0,3,1,0.981,0.984,0.9972,42,44,20,26,6,97,627,487,63,29,1,9,Midfielder
PBP. Brittijn,Fortuna Sittard,1,21,1072,0,,0,0,0.0,,0.0,0,2,0,0,0,1,3,3,0,0,0,0,Midfielder
L. Smans,SC Heerenveen,35,2388,1073,2,46.0,20,3,3.771,4.216,4.9924,27,13,12,20,8,111,735,582,55,109,9,61,Midfielder
D. Weidmann,FC Twente,12,798,1074,0,7.0,0,0,0.2144,0.214,0.3386,11,5,11,7,5,42,260,216,25,10,0,9,Midfielder
R. Daal,AZ Alkmaar,16,69,1075,0,,0,0,0.0,,0.0323,4,0,0,1,0,8,29,27,1,2,0,0,Midfielder
D. Kwakman,AZ Alkmaar,27,1194,1076,0,15.0,5,2,1.2473,1.298,0.512,34,8,7,10,8,94,405,324,32,11,1,6,Midfielder
Y. Taha,FC Groningen,15,319,1077,0,6.0,3,1,0.204,0.207,0.5172,11,0,3,2,0,21,109,73,13,20,0,6,Midfielder
LSL. Sauer,Feyenoord,31,2493,1078,2,67.0,21,7,5.2031,4.725,3.5823,41,18,3,35,21,171,676,513,26,85,3,28,Midfielder
K. Hlynsson,AFC Ajax,22,1407,1079,3,32.0,14,3,3.6849,3.504,1.7652,22,22,8,12,9,62,486,380,42,45,2,20,Midfielder
T. van de Loo,RKC Waalwijk,34,1828,1080,1,15.0,3,2,1.4242,1.543,1.4942,51,35,30,17,6,93,645,519,72,6,3,18,Midfielder
K. Sano,NEC Nijmegen,26,2078,1081,2,30.0,7,3,1.4389,1.535,1.6459,44,31,26,24,8,133,1016,866,99,17,0,20,Midfielder
S. Scheperman,Heracles Almelo,24,1639,1082,1,10.0,4,1,1.1373,1.168,0.4545,78,60,29,43,2,137,719,611,62,3,0,7,Midfielder
RER. El Arguioui,FC Utrecht,4,0,1083,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
S. 't Zand,Feyenoord,29,1058,1084,0,25.0,13,1,2.334,2.322,0.9966,20,5,5,7,6,56,358,292,21,8,2,14,Midfielder
R. van Bommel,PSV Eindhoven,26,1673,1085,5,52.0,21,4,6.0699,6.108,2.8882,42,4,16,21,9,109,619,465,44,22,5,30,Midfielder
TvT. van Gilst,Heracles Almelo,1,83,1086,0,1.0,0,0,0.0,,0.0,2,2,0,2,0,4,27,20,2,4,0,0,Midfielder
JSJ. Slory,Go Ahead Eagles,3,262,1087,0,5.0,2,2,0.0,,0.0,9,0,2,2,2,21,50,33,6,14,0,1,Midfielder
J. Faberski,PEC Zwolle,1,0,1088,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
TKT. Kraaijeveld,Feyenoord,1,0,1089,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
R. Weijenberg,Go Ahead Eagles,26,344,1090,0,3.0,0,0,0.7606,0.76,0.5681,17,13,2,5,1,31,169,142,16,0,1,5,Midfielder
T. Schenkhuizen,Fortuna Sittard,17,5,1091,0,1.0,0,0,0.0449,0.045,0.0058,0,0,0,0,0,0,6,4,0,0,0,0,Midfielder
