,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
54,1174,Defender,LaLiga,T. Correia,Valencia,11,771,0,7.0,3,0,0.32,0.32,0.76,27,16,4,4,0,54,338,248,47,18,0,5,0.0,0.0,0.0,0,0.0,0.82,0.35,6.3,39.46,28.95,5.49,2.1,0.0,0.58,3.15,1.87,0.47,0.47,0.0,0.0,0.04,0.04,0.09
55,1175,Defender,LaLiga,F. Calero,Espanyol,31,738,0,2.0,1,1,0.22,0.27,0.07,18,47,16,13,0,38,374,321,57,2,0,3,0.0,0.12,0.0,1,0.12,0.24,0.12,4.63,45.61,39.15,6.95,0.24,0.0,0.37,2.2,5.73,1.95,1.59,0.0,0.0,0.03,0.03,0.01
56,1176,Defender,LaLiga,A. Gorosabel,Athletic Club,37,1489,2,2.0,1,0,0.33,0.33,1.67,47,57,18,20,0,78,664,556,33,41,4,15,0.0,0.0,0.12,2,0.12,0.12,0.06,4.71,40.13,33.61,1.99,2.48,0.24,0.91,2.84,3.45,1.09,1.21,0.0,0.0,0.02,0.02,0.1
57,1177,Defender,LaLiga,J. Foyth,Villarreal,21,1526,0,17.0,5,1,2.39,2.42,0.89,25,112,19,41,3,75,923,808,117,4,0,7,0.0,0.06,0.0,1,0.06,1.0,0.29,4.42,54.44,47.65,6.9,0.24,0.0,0.41,1.47,6.61,1.12,2.42,0.18,0.0,0.14,0.14,0.05
58,1178,Defender,LaLiga,E. García,Barcelona,32,1575,3,14.0,8,2,2.32,2.32,1.64,38,40,14,27,3,78,1287,1189,50,7,2,7,0.0,0.11,0.17,5,0.29,0.8,0.46,4.46,73.54,67.94,2.86,0.4,0.11,0.4,2.17,2.29,0.8,1.54,0.17,0.0,0.13,0.13,0.09
59,1179,Defender,LaLiga,M. Morey,Mallorca,34,763,0,3.0,1,0,0.44,0.41,0.21,22,29,15,8,2,49,318,261,26,16,1,4,0.0,0.0,0.0,0,0.0,0.35,0.12,5.78,37.51,30.79,3.07,1.89,0.12,0.47,2.6,3.42,1.77,0.94,0.24,0.0,0.05,0.05,0.02
60,1180,Defender,LaLiga,F. Garcés,Deportivo Alavés,18,676,0,5.0,1,0,0.1,0.1,0.71,6,51,5,13,3,21,195,150,39,1,1,3,0.0,0.0,0.0,0,0.0,0.67,0.13,2.8,25.96,19.97,5.19,0.13,0.13,0.4,0.8,6.79,0.67,1.73,0.4,0.0,0.01,0.01,0.09
61,1181,Defender,LaLiga,A. Ruibal,Real Betis,31,1312,3,16.0,4,1,0.9,0.91,1.9,32,35,14,7,5,71,494,419,50,32,5,21,0.0,0.07,0.21,4,0.27,1.1,0.27,4.87,33.89,28.74,3.43,2.2,0.34,1.44,2.2,2.4,0.96,0.48,0.34,0.0,0.06,0.06,0.13
62,1182,Defender,LaLiga,M. Kumbulla,Mallorca,35,2975,0,16.0,5,3,1.85,1.81,0.29,51,221,34,73,5,155,1394,1183,209,6,1,1,0.0,0.09,0.0,3,0.09,0.48,0.15,4.69,42.17,35.79,6.32,0.18,0.03,0.03,1.54,6.69,1.03,2.21,0.15,0.0,0.06,0.05,0.01
63,1183,Defender,LaLiga,N. Tenaglia,Deportivo Alavés,35,2923,1,27.0,9,2,2.18,2.19,1.38,96,111,47,47,4,204,973,724,144,85,5,19,0.0,0.06,0.03,3,0.09,0.83,0.28,6.28,29.96,22.29,4.43,2.62,0.15,0.59,2.96,3.42,1.45,1.45,0.12,0.0,0.07,0.07,0.04
