,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
53,1768,Defender,Liga Portugal,M. Maga,Vitória SC,23,1403,1,8.0,2,0,0.21,0.22,2.37,34,38,14,25,4,75,623,512,37,38,2,9,0.0,0.0,0.06,1,0.06,0.51,0.13,4.81,39.96,32.84,2.37,2.44,0.13,0.58,2.18,2.44,0.9,1.6,0.26,0.0,0.01,0.01,0.15
54,1769,Defender,Liga Portugal,S. Lima,Santa Clara,29,2199,1,18.0,8,3,1.42,1.36,0.54,39,107,43,56,3,138,995,782,165,18,2,8,0.0,0.12,0.04,4,0.16,0.74,0.33,5.65,40.72,32.01,6.75,0.74,0.08,0.33,1.6,4.38,1.76,2.29,0.12,0.0,0.06,0.06,0.02
55,1770,Defender,Liga Portugal,J. Mendes,Vitória SC,31,2684,0,18.0,5,0,0.64,0.73,1.99,65,76,21,41,7,124,1378,1086,149,111,1,24,0.0,0.0,0.0,0,0.0,0.6,0.17,4.16,46.21,36.42,5.0,3.72,0.03,0.8,2.18,2.55,0.7,1.37,0.23,0.0,0.02,0.02,0.07
56,1771,Defender,Liga Portugal,D. Travassos,Moreirense,25,1716,0,16.0,4,1,0.44,0.48,1.38,32,32,18,14,4,106,508,356,86,82,2,16,0.0,0.05,0.0,1,0.05,0.84,0.21,5.56,26.64,18.67,4.51,4.3,0.1,0.84,1.68,1.68,0.94,0.73,0.21,0.0,0.02,0.03,0.07
57,1772,Defender,Liga Portugal,M. Fernandes,FC Porto,27,1237,4,6.0,4,0,0.7,0.7,3.3,24,17,11,21,1,85,610,496,66,43,11,21,0.0,0.0,0.29,4,0.29,0.44,0.29,6.18,44.38,36.09,4.8,3.13,0.8,1.53,1.75,1.24,0.8,1.53,0.07,0.0,0.05,0.05,0.24
58,1773,Defender,Liga Portugal,G. Batista,Moreirense,24,315,0,0.0,0,0,0.0,0.0,0.33,4,20,3,9,0,18,118,100,13,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.14,33.71,28.57,3.71,0.0,0.0,0.0,1.14,5.71,0.86,2.57,0.0,0.0,0.0,0.0,0.09
59,1774,Defender,Liga Portugal,A. Costa,FC Porto,16,673,2,7.0,0,0,0.23,0.23,2.25,24,20,9,9,3,57,286,214,28,20,2,11,0.0,0.0,0.27,2,0.27,0.94,0.0,7.62,38.25,28.62,3.74,2.67,0.27,1.47,3.21,2.67,1.2,1.2,0.4,0.0,0.03,0.03,0.3
60,1775,Defender,Liga Portugal,D. Pinto,Moreirense,31,2083,1,22.0,7,2,1.37,1.45,2.2,62,72,23,33,4,136,834,647,83,63,1,11,0.0,0.09,0.04,3,0.13,0.95,0.3,5.88,36.03,27.95,3.59,2.72,0.04,0.48,2.68,3.11,0.99,1.43,0.17,0.0,0.06,0.06,0.09
62,1777,Defender,Liga Portugal,I. Fresneda,Sporting,31,956,0,9.0,6,3,1.97,1.94,0.79,25,9,10,3,1,44,389,324,21,23,1,8,0.0,0.28,0.0,3,0.28,0.85,0.56,4.14,36.62,30.5,1.98,2.17,0.09,0.75,2.35,0.85,0.94,0.28,0.09,0.0,0.19,0.18,0.07
63,1778,Defender,Liga Portugal,Ó. Rivas,Vitória SC,17,797,0,5.0,3,1,0.98,1.03,0.07,9,46,13,19,0,39,479,412,60,3,0,0,0.0,0.11,0.0,1,0.11,0.56,0.34,4.4,54.09,46.52,6.78,0.34,0.0,0.0,1.02,5.19,1.47,2.15,0.0,0.0,0.11,0.12,0.01
65,1780,Defender,Liga Portugal,O. Diomande,Sporting,30,2436,0,27.0,6,2,1.53,1.53,0.92,33,77,32,70,2,123,2024,1888,117,0,1,10,0.0,0.07,0.0,2,0.07,1.0,0.22,4.54,74.78,69.75,4.32,0.0,0.04,0.37,1.22,2.84,1.18,2.59,0.07,0.0,0.06,0.06,0.03
66,1781,Defender,Liga Portugal,MAM. Augusto,Moreirense,4,149,0,0.0,0,0,0.0,0.0,0.0,2,11,2,2,0,4,50,44,12,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.42,30.2,26.58,7.25,0.0,0.0,0.0,1.21,6.64,1.21,1.21,0.0,0.0,0.0,0.0,0.0
69,1784,Defender,Liga Portugal,L. Santos,Moreirense,5,266,0,1.0,0,0,0.05,0.05,0.56,7,5,1,4,0,19,155,133,5,15,1,4,0.0,0.0,0.0,0,0.0,0.34,0.0,6.43,52.44,45.0,1.69,5.08,0.34,1.35,2.37,1.69,0.34,1.35,0.0,0.0,0.02,0.02,0.19
70,1785,Defender,Liga Portugal,P. Carvalho,Estoril Praia,30,722,2,6.0,1,0,0.72,0.87,0.83,17,28,11,4,1,40,295,224,31,39,4,8,0.0,0.0,0.25,2,0.25,0.75,0.12,4.99,36.77,27.92,3.86,4.86,0.5,1.0,2.12,3.49,1.37,0.5,0.12,0.0,0.09,0.11,0.1
79,1794,Forward,Liga Portugal,N. Oliveira,Vitória SC,30,1760,4,45.0,15,3,3.48,3.57,1.38,3,9,2,26,10,82,314,245,11,18,5,15,0.0,0.15,0.2,7,0.36,2.3,0.77,4.19,16.06,12.53,0.56,0.92,0.26,0.77,0.15,0.46,0.1,1.33,0.51,0.0,0.18,0.18,0.07
80,1795,Forward,Liga Portugal,Nenê,AVS - Futebol SAD,18,402,1,13.0,3,2,1.13,1.17,0.16,2,2,1,19,3,30,84,54,8,0,1,4,0.0,0.45,0.22,3,0.67,2.91,0.67,6.72,18.81,12.09,1.79,0.0,0.22,0.9,0.45,0.45,0.22,4.25,0.67,0.0,0.25,0.26,0.04
81,1796,Forward,Liga Portugal,TTomané,AVS - Futebol SAD,23,1597,0,30.0,10,3,2.8,2.0,1.19,15,23,1,107,8,172,338,197,13,22,2,20,0.0,0.17,0.0,3,0.17,1.69,0.56,9.69,19.05,11.1,0.73,1.24,0.11,1.13,0.85,1.3,0.06,6.03,0.45,0.0,0.16,0.11,0.07
82,1797,Forward,Liga Portugal,J. Carvalho,Estoril Praia,26,2129,3,29.0,11,6,1.56,1.71,3.28,31,9,7,7,7,102,911,710,86,40,6,28,0.0,0.25,0.13,9,0.38,1.23,0.47,4.31,38.51,30.01,3.64,1.69,0.25,1.18,1.31,0.38,0.3,0.3,0.3,0.0,0.07,0.07,0.14
