,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
86,1564,Forward,LaLiga 2,Ó. Plano,Leganés,30,1363,1,28.0,8,3,21,7,5,11,6,82,453,394,15,6,2,11,0.0,0.2,0.07,4,0.26,1.85,0.53,5.41,29.91,26.02,0.99,0.4,0.13,0.73,1.39,0.46,0.33,0.73,0.4,0.0
87,1565,Forward,LaLiga 2,M. Mesa,CD Tenerife,38,1395,0,33.0,11,4,13,10,6,16,9,61,274,209,21,5,0,10,0.0,0.26,0.0,4,0.26,2.13,0.71,3.94,17.68,13.48,1.35,0.32,0.0,0.65,0.84,0.65,0.39,1.03,0.58,0.0
88,1566,Forward,LaLiga 2,J. Bautista,Eibar,38,2612,4,95.0,36,11,16,30,7,176,22,242,516,323,8,10,7,29,0.0,0.38,0.14,15,0.52,3.27,1.24,8.34,17.78,11.13,0.28,0.34,0.24,1.0,0.55,1.03,0.24,6.06,0.76,0.0
89,1567,Forward,LaLiga 2,C. Fernández,Mirandés,33,1615,1,31.0,12,1,21,8,5,80,6,140,406,257,29,10,3,13,0.0,0.06,0.06,2,0.11,1.73,0.67,7.8,22.63,14.32,1.62,0.56,0.17,0.72,1.17,0.45,0.28,4.46,0.33,0.0
90,1568,Forward,LaLiga 2,J. Otero,Sporting Gijón,35,2407,1,73.0,29,12,21,40,5,91,20,165,577,370,26,22,1,21,0.0,0.45,0.04,13,0.49,2.73,1.08,6.17,21.57,13.83,0.97,0.82,0.04,0.79,0.79,1.5,0.19,3.4,0.75,0.0
91,1569,Forward,LaLiga 2,J. Caicedo,Sporting Gijón,29,734,0,17.0,5,2,7,6,0,46,3,66,125,76,4,5,0,8,0.0,0.25,0.0,2,0.25,2.08,0.61,8.09,15.33,9.32,0.49,0.61,0.0,0.98,0.86,0.74,0.0,5.64,0.37,0.0
92,1570,Forward,LaLiga 2,E. Gallego,CD Tenerife,41,1836,0,47.0,15,7,31,21,7,91,12,153,406,250,16,3,1,20,0.0,0.34,0.0,7,0.34,2.3,0.74,7.5,19.9,12.25,0.78,0.15,0.05,0.98,1.52,1.03,0.34,4.46,0.59,0.0
93,1571,Forward,LaLiga 2,D. Gómez,Real Zaragoza,16,676,1,15.0,9,4,3,3,1,8,4,29,112,79,3,2,2,7,0.0,0.53,0.13,5,0.67,2.0,1.2,3.86,14.91,10.52,0.4,0.27,0.27,0.93,0.4,0.4,0.13,1.07,0.53,0.0
94,1572,Forward,LaLiga 2,P. Soko,Almería,37,2703,4,77.0,33,13,10,13,6,58,12,134,409,273,14,33,6,22,0.0,0.43,0.13,17,0.57,2.56,1.1,4.46,13.62,9.09,0.47,1.1,0.2,0.73,0.33,0.43,0.2,1.93,0.4,0.0
95,1573,Forward,LaLiga 2,CBC. Borrego,FC Cartagena,42,1040,0,21.0,4,1,10,5,5,24,10,55,269,194,14,15,0,7,0.0,0.09,0.0,1,0.09,1.82,0.35,4.76,23.28,16.79,1.21,1.3,0.0,0.61,0.87,0.43,0.43,2.08,0.87,0.0
